Dataset,Algorithm,p,q,P,Q,MAE,RMSE,Time (s)
Noisy_ARMA,ARIMA,2,1,0,0,0.7937,0.9919,1.223
Noisy_ARMA,GARIMA-OLS,2,0,0,0,0.8423,1.0808,0.053
Noisy_ARMA,GARIMA-Ridge,2,0,0,0,0.8765,1.0947,0.069
Seasonal,ARIMA,2,2,0,0,0.4695,0.5829,4.906
Seasonal,GARIMA-OLS,1,0,0,0,0.5212,0.6287,0.042
Seasonal,GARIMA-Ridge,1,0,0,0,0.5342,0.6411,0.046
Trend_AR,ARIMA,1,0,0,0,0.4410,0.5503,0.876
Trend_AR,GARIMA-OLS,1,0,0,0,0.4380,0.5420,0.041
Trend_AR,GARIMA-Ridge,1,0,0,0,0.5284,0.6513,0.045
Nonlinear,ARIMA,1,0,0,0,0.2246,0.2694,0.766
Nonlinear,GARIMA-OLS,1,0,0,0,0.0366,0.0458,0.041
Nonlinear,GARIMA-Ridge,1,0,0,0,0.2266,0.2688,0.046
